2026-05-21 13:16:30.821 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Plants_Cultivated_Decorative.xml

2026-05-21 13:19:01.395 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Plants_Cultivated_Decorative.xml

2026-05-21 13:19:08.767 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:08.787 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:09.034 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:09.271 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:09.488 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:09.772 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:10.100 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:10.415 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:10.641 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:10.886 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:11.162 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:11.185 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:19:12.263 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): SteamJapaneseDescription.xml

2026-05-21 13:49:25.336 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Plants_Cultivated_Decorative.xml

2026-05-21 13:49:26.380 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.389 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.407 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.424 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.441 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.458 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.484 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.501 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.518 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.534 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.575 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.583 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): Apparel_Stocking.xml

2026-05-21 13:49:26.694 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): SteamJapaneseDescription.xml

2026-05-21 13:49:33.703 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): MoreFloorsDesignationCategories.xml

2026-05-21 13:49:33.703 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): MoreFloorsProduction.xml

2026-05-21 13:49:33.709 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): MoreFloorsTerrainsCarpet.xml

2026-05-21 13:49:33.716 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): MoreFloorsTerrainsMetal.xml

2026-05-21 13:49:33.717 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): MoreFloorsTerrainsNatural.xml

2026-05-21 13:49:33.717 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): MoreFloorsTerrainsStone.xml

2026-05-21 13:49:33.718 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): MoreFloorsTerrainsWood.xml

2026-05-21 13:49:33.718 | WARNING  | verification.xml_parser:safe_parse_xml:301 | Пропуск XML файла (заглушка): MoreFloorsBuildingsProduction.xml

